,year,state,district,party,candidatevotes,race_id,clean_namehouse,FEC_ID,clean_namefec,similarity_score
14004,2012,OH,10,DEM,131097,OH10_2012,SHAREN NEUHARDT,H8OH07099,SHAREN NEUHARDT,1.0
14005,1990,TX,3,REP,153857,TX3_1990,STEVE BARTLETT,H2TX05014,STEVE BARTLETT,1.0
14006,2012,OH,10,REP,208201,OH10_2012,MICHAEL TURNER,H2OH03067,MICHAEL TURNER,1.0
14007,1992,PA,1,REP,35419,PA1_1992,CRAIG SNYDER,H2PA01040,CRAIG SNYDER,1.0
14008,1990,TX,4,DEM,108300,TX4_1990,RALPH HALL,H0TX04037,RALPH HALL,1.0
14009,2012,OH,9,DEM,217771,OH9_2012,MARCY KAPTUR,H2OH09031,MARCY KAPTUR,1.0
14010,2012,OH,9,REP,68668,OH9_2012,SAMUEL WURZELBACHER,H2OH09114,SAMUEL WURZELBACHER,1.0
14011,2010,SC,2,OTHER,2856,SC2_2010,MARC BEAMAN,H0SC02046,MARC BEAMAN,1.0
14012,1980,IN,11,REP,78743,IN11_1980,SHEILA SUESS,H0IN11019,SHEILA SUESS,1.0
14013,1978,OH,10,DEM,35039,OH10_1978,JAMES PLUMMER,H6OH10048,JAMES PLUMMER,1.0
14014,1990,TX,5,REP,41307,TX5_1990,JERRY RUCKER,H0TX05026,JERRY RUCKER,1.0
14015,1990,TX,5,DEM,65228,TX5_1990,JOHN BRYANT,H2TX05048,JOHN BRYANT,1.0
14016,2006,SC,2,REP,127811,SC2_2006,JOE WILSON,H2SC02059,JOE WILSON,1.0
14017,2006,SC,2,DEM,76090,SC2_2006,MICHAEL ELLISOR,H4SC02048,MICHAEL ELLISOR,1.0
14018,1980,NJ,9,REP,116128,NJ9_1980,HAROLD HOLLENBECK,H6NJ09082,HAROLD HOLLENBECK,1.0
14019,2006,SC,4,LIB,4467,SC4_2006,JOHN COBIN,H6SC04148,JOHN COBIN,1.0
14020,2006,SC,4,DEM,57490,SC4_2006,WILLIAM GRIFFITH,H6SC04155,WILLIAM GRIFFITH,1.0
14021,2006,SC,4,REP,115553,SC4_2006,BOB INGLIS,H2SC04022,BOB INGLIS,1.0
14022,2012,OH,8,REP,246378,OH8_2012,JOHN BOEHNER,H0OH08029,JOHN BOEHNER,1.0
14023,2012,OH,7,DEM,137708,OH7_2012,JOYCE HEALY-ABRAMS,H2OH07167,JOYCE HEALY-ABRAMS,1.0
14024,1984,NY,33,REP,37411,NY33_1984,DAVID LEWANDOWSKI,H4NY33017,DAVID LEWANDOWSKI,1.0
14025,2012,OH,7,REP,178104,OH7_2012,BOB GIBBS,H0OH18077,BOB GIBBS,1.0
14026,1978,OH,11,REP,89327,OH11_1978,J STANTON,H6OH11020,J STANTON,1.0
14027,1990,TX,6,REP,125049,TX6_1990,JOE BARTON,H4TX06117,JOE BARTON,1.0
14028,2006,SC,5,REP,75422,SC5_2006,RALPH NORMAN,H8SC05158,RALPH NORMAN,1.0
14029,1984,NY,33,DEM,148085,NY33_1984,HENRY NOWAK,H6NY37039,HENRY NOWAK,1.0
14030,1984,NY,34,REP,84520,NY34_1984,JILL EMERY,H4NY84010,JILL EMERY,1.0
14031,1992,OR,5,DEM,174443,OR5_1992,MICHAEL KOPETSKI,H8OR05024,MICHAEL KOPETSKI,1.0
14032,1984,NY,32,DEM,132826,NY32_1984,JOHN LAFALCE,H6NY36015,JOHN LAFALCE,1.0
14033,2012,OH,5,REP,201514,OH5_2012,ROBERT LATTA,H8OH05036,ROBERT LATTA,1.0
14034,2012,OH,6,REP,164536,OH6_2012,BILL JOHNSON,H0OH06189,BILL JOHNSON,1.0
14035,2006,SC,6,REP,53181,SC6_2006,GARY MCLEOD,H4SC06064,GARY MCLEOD,1.0
14036,2006,SC,6,DEM,100213,SC6_2006,JAMES CLYBURN,H2SC02042,JAMES CLYBURN,1.0
14037,2012,OH,5,DEM,137806,OH5_2012,ANGELA ZIMMANN,H2OH05021,ANGELA ZIMMANN,1.0
14038,1978,OH,11,DEM,37131,OH11_1978,PATRICK DONLIN,H8OH11034,PATRICK DONLIN,1.0
14039,2006,SD,0,REP,97864,SD0_2006,BRUCE WHALEN,H6SD00127,BRUCE WHALEN,1.0
14040,2012,OH,3,REP,77901,OH3_2012,CHRIS LONG,H2OH03141,CHRIS LONG,1.0
14041,2012,OH,3,DEM,201897,OH3_2012,JOYCE BEATTY,H2OH03125,JOYCE BEATTY,1.0
14042,2006,TN,1,REP,108336,TN1_2006,DAVID DAVIS,H6TN01313,DAVID DAVIS,1.0
14043,2006,SD,0,DEM,230468,SD0_2006,STEPHANIE HERSETH,H2SD00092,STEPHANIE HERSETH,1.0
14044,1984,OH,20,DEM,167115,OH20_1984,MARY OAKAR,H6OH20138,MARY OAKAR,1.0
