,year,state,district,party,candidatevotes,race_id,clean_namehouse,FEC_ID,clean_namefec,similarity_score
391,2024,SC,7,DEM,129522,SC7_2024,MAL HYMAN,H6SC07018,MAL HYMAN,1.0
392,2024,SC,7,REP,240326,SC7_2024,RUSSELL FRY,H2SC07280,RUSSELL FRY,1.0
395,2024,SC,5,REP,228260,SC5_2024,RALPH NORMAN,H6SC05111,RALPH NORMAN,1.0
398,2024,SC,6,REP,112360,SC6_2024,DUKE BUCKNER,H2SC06142,DUKE BUCKNER,1.0
399,2024,SC,6,OTHER,4927,SC6_2024,GREGG DIXON,H2SC06134,GREGG DIXON,1.0
400,2024,SC,5,DEM,130592,SC5_2024,EVANGELINE HUNDLEY,H2SC05102,EVANGELINE HUNDLEY,1.0
402,2024,SC,3,DEM,87735,SC3_2024,BRYON BEST,H4SC03244,BRYON BEST,1.0
404,2024,SC,3,REP,248451,SC3_2024,SHERI BIGGS,H4SC01313,SHERI BIGGS,1.0
405,2024,SC,4,DEM,128976,SC4_2024,KATHRYN HARVEY,H4SC04101,KATHRYN HARVEY,1.0
406,2024,SC,2,REP,211514,SC2_2024,JOE WILSON,H2SC02059,JOE WILSON,1.0
408,2010,FL,2,OTHER,5705,FL2_2010,DIANNE BERRYHILL,H0FL02177,DIANNE BERRYHILL,1.0
409,2010,FL,15,REP,157079,FL15_2010,BILL POSEY,H8FL15107,BILL POSEY,1.0
412,2024,SC,1,REP,227502,SC1_2024,NANCY MACE,H0SC01394,NANCY MACE,1.0
419,2024,SC,1,DEM,162582,SC1_2024,MICHAEL MOORE,H4SC01297,MICHAEL MOORE,1.0
423,2024,RI,2,DEM,153439,RI2_2024,SETH MAGAZINER,H2RI02184,SETH MAGAZINER,1.0
424,2024,RI,1,REP,70742,RI1_2024,ALLEN WATERS,H2RI01202,ALLEN WATERS,1.0
429,2024,PA,17,DEM,242838,PA17_2024,CHRISTOPHER DELUZIO,H2PA17103,CHRISTOPHER DELUZIO,1.0
432,2024,PA,16,DEM,146709,PA16_2024,PRESTON NOURI,H4PA16093,PRESTON NOURI,1.0
434,2024,PA,15,REP,279027,PA15_2024,GLENN THOMPSON,H8PA05071,GLENN THOMPSON,1.0
439,2024,PA,14,REP,268380,PA14_2024,GUY RESCHENTHALER,H8PA18199,GUY RESCHENTHALER,1.0
444,2024,PA,13,REP,301460,PA13_2024,JOHN JOYCE,H8PA13125,JOHN JOYCE,1.0
